feature,coefficient
Intercept,4.256903765690382
%CC,-0.00042717587672081185
%CD,0.003710911196251188
%DT,0.03131716021658136
%EXCLAIM,0.020457976845733965
%FUNC,0.05402458965473897
%IN,-0.027108087084130233
%JJ,-0.01249622250130926
%MD,0.00817514876681687
%MISSPELLED,-0.02186030631493311
%NN,0.003395952266063847
%PRP,-0.001379127945328836
%QUESTION,-0.006847814013796803
%RB,-0.009202987031808657
%REPEATED,0.020338114644871255
%VB,-0.0036950025906310555
AVG_WFREQ,0.01970724092039657
AVG_WLEN,0.09970341945346227
IS_NATIVE,0.5444908945955849
LM,-0.025095615744211184
LOGTYPES,0.3134296342276635
LOGWORDS,0.5639492932195797
SD_WFREQ,0.01628998433297479
SD_WLEN,-0.0057490436042392686
TYPES,-0.13573476131434709
WORDS,-0.35803060212877036
