,%CC,%CD,%DT,%EXCLAIM,%FUNC,%IN,%JJ,%MD,%MISSPELLED,%NN,%PRP,%QUESTION,%RB,%REPEATED,%VB,AVG_WFREQ,AVG_WLEN,IS_NATIVE,LM,LOGTYPES,LOGWORDS,SD_WFREQ,SD_WLEN,TYPES,WORDS,sc1
%CC,1.0,-0.10336691805973167,-0.13503189554070336,-0.06281733414412705,0.10745575652797243,-0.06412202593957522,-0.0007951235143744587,0.0008241986543965258,0.09901008258265885,0.018695483866879747,-0.02459686050056707,-0.13222566073244882,0.055467034399585335,-0.0948844765559455,-0.05215119849311692,-0.051416708062062055,-0.103845454508882,-0.0806280603316896,-0.20303907979239044,-0.08748734672951616,-0.11959108236959066,0.07497590028086686,-0.1941752128448158,-0.09214711848961374,-0.11297499489290491,-0.10529555679544829
%CD,-0.10336691805973167,1.0,-0.01988418682857737,0.10771225982069521,-0.06075664303947901,-0.06885490481417791,-0.047170920928305285,-0.15630499508951856,0.06900552361112275,0.09431208993730458,-0.10519943746147728,0.10550934243113186,-0.1365371390606321,-0.04659129898195322,-0.21111603086345135,-0.15728119690005704,0.007472647875952674,0.1650601152463954,-0.1799779253353117,0.14040088126356112,0.16387240735658015,0.09684695743875672,0.03957548424938425,0.1471990383789275,0.17685774212471475,0.16801248502351426
%DT,-0.13503189554070336,-0.01988418682857737,1.0,-0.05063671500624823,0.13104412035554114,0.089330357298836,-0.03426689005010031,-0.11347960405743708,0.05151935879864207,0.08063787105569245,-0.2809618108282294,-0.0312672532148015,-0.12757871804327636,-0.08360724931750108,-0.17459458403941538,-0.05632723209997879,-0.07317266232483324,0.04758566807476278,-0.021394627213488372,0.089148854925589,0.07332218495415084,0.0013981347040125166,0.05774682058305265,0.08613780646607055,0.07005130440670997,0.08441782863794571
%EXCLAIM,-0.06281733414412705,0.10771225982069521,-0.05063671500624823,1.0,-0.03002791190786131,-0.08938530665028296,-0.03554626573495951,-0.07346252561545374,-0.05052508354061358,-0.040819141878333284,0.006618700681476997,0.2615689838218994,0.06293623504055026,-0.10523510714039803,-0.03992540900373686,-0.08053915286929111,0.050020620525799975,0.11539676547427391,-0.028299011939805684,0.14962052977834747,0.12601661016550378,0.011024753826265393,0.0934988180203884,0.15348615136625016,0.12637801430278767,0.14684112441324737
%FUNC,0.10745575652797243,-0.06075664303947901,0.13104412035554114,-0.03002791190786131,1.0,0.1171891003482525,-0.33570287541979404,0.21217501113352213,-0.08518711562802037,-0.6369416110558588,0.5688706458392686,-0.03162670921252115,0.04692636131317742,0.061905527902810474,0.19899356468797819,0.25691417263179933,-0.7053617539019803,-0.12385627864509272,0.19847729761838664,-0.11996362865419812,-0.0025861996551292173,-0.08078427963092136,-0.4570612317496995,-0.1567242257687706,-0.02002743718914932,-0.10802954489093322
%IN,-0.06412202593957522,-0.06885490481417791,0.089330357298836,-0.08938530665028296,0.1171891003482525,1.0,-0.016348348519835985,-0.06376510159126846,-0.053749184425193455,0.14292466425746284,-0.10110108517713617,-0.09974579292171089,-0.14307102028887445,0.03849027171154343,-0.2627632971597852,0.08879516264711795,0.07489066222158097,-0.018902180896146037,-0.01071121423469476,-0.09295195032401446,-0.08016408471916653,-0.02160324192550963,0.009481769504726133,-0.07479050468501329,-0.057986217223260826,-0.06638272615717894
%JJ,-0.0007951235143744587,-0.047170920928305285,-0.03426689005010031,-0.03554626573495951,-0.33570287541979404,-0.016348348519835985,1.0,-0.10151856429426437,0.025418626152548415,0.12476511486932704,-0.36816198755170015,-0.09105937614971875,-0.08914857908371489,-0.04175121722584755,-0.2429069683187299,-0.13885776868176494,0.37047289232981306,0.10942769644999681,-0.029267307584669843,0.09272480760658493,0.03318566399893401,0.06478430405148311,0.2841374327413585,0.1114164793770357,0.03805655724390369,0.09534393647131151
%MD,0.0008241986543965258,-0.15630499508951856,-0.11347960405743708,-0.07346252561545374,0.21217501113352213,-0.06376510159126846,-0.10151856429426437,1.0,-0.03811170666606773,-0.2314450210755205,0.2702928334433395,-0.0546879136756986,-0.08317535339676527,0.05753813890746398,-0.04798177512814898,0.1749169978864115,-0.26235414673204144,-0.16850295914098115,0.10050227842061009,-0.22085430261030645,-0.16196475881606393,-0.052289683885976594,-0.2530481589384306,-0.23788161552611872,-0.18261939270011046,-0.18913057604831032
%MISSPELLED,0.09901008258265885,0.06900552361112275,0.05151935879864207,-0.05052508354061358,-0.08518711562802037,-0.053749184425193455,0.025418626152548415,-0.03811170666606773,1.0,0.1371365735376808,-0.044224824469771246,-0.09913094080677573,-0.060185326720817764,-0.1605685509999871,0.05277346940426919,-0.6745727936027948,-0.023705967465296678,-0.15388808263624532,-0.5870819062616096,-0.15220180853998563,-0.21256680432794442,0.7786854809560932,-0.026851755470415364,-0.13824259932239416,-0.2120443069274529,-0.19505813875653868
%NN,0.018695483866879747,0.09431208993730458,0.08063787105569245,-0.040819141878333284,-0.6369416110558588,0.14292466425746284,0.12476511486932704,-0.2314450210755205,0.1371365735376808,1.0,-0.5886059320634887,-0.11302171561137735,-0.3366356079696444,-0.04731583377540345,-0.4047886606300929,-0.1756620333101252,0.5512853221852658,0.040259120302325854,-0.2762441856277238,-0.09119935727638713,-0.16014095026440614,0.12028428757086097,0.36654622315755164,-0.04609281524474695,-0.12381693033080712,-0.014220959852941521
%PRP,-0.02459686050056707,-0.10519943746147728,-0.2809618108282294,0.006618700681476997,0.5688706458392686,-0.10110108517713617,-0.36816198755170015,0.2702928334433395,-0.044224824469771246,-0.5886059320634887,1.0,0.02530404588606957,-0.03510361790286049,0.13571333953593964,0.2927979972931092,0.24356556469735033,-0.6213784906498075,-0.2028615521049692,0.11370690212892282,-0.19186134569728028,-0.1023980239137113,-0.0781216359475805,-0.43969891670007766,-0.2181791340636106,-0.11757154058153815,-0.2021597754037434
%QUESTION,-0.13222566073244882,0.10550934243113186,-0.0312672532148015,0.2615689838218994,-0.03162670921252115,-0.09974579292171089,-0.09105937614971875,-0.0546879136756986,-0.09913094080677573,-0.11302171561137735,0.02530404588606957,1.0,0.04771438428918441,-0.09159006831638318,-0.0233552418917283,-0.03872792801475455,0.013068328946091482,0.18250293669242137,0.11301703033510388,0.19084710223911472,0.1772860905196142,-0.0628066513736292,0.05562991881118743,0.19854189251024956,0.18405771057737932,0.1811504379032136
%RB,0.055467034399585335,-0.1365371390606321,-0.12757871804327636,0.06293623504055026,0.04692636131317742,-0.14307102028887445,-0.08914857908371489,-0.08317535339676527,-0.060185326720817764,-0.3366356079696444,-0.03510361790286049,0.04771438428918441,1.0,-0.014850951631319782,0.03129304588601045,-0.046162140432012236,0.0007820749410578275,0.06911448157801997,0.052006942243001245,0.23767289940282713,0.2078554526998023,-0.035628203672183494,-0.05704036694746542,0.2078644419961097,0.17296507557770247,0.13942468814319925
%REPEATED,-0.0948844765559455,-0.04659129898195322,-0.08360724931750108,-0.10523510714039803,0.061905527902810474,0.03849027171154343,-0.04175121722584755,0.05753813890746398,-0.1605685509999871,-0.04731583377540345,0.13571333953593964,-0.09159006831638318,-0.014850951631319782,1.0,0.11634396570647373,0.20838547921083672,-0.1066097281914328,-0.04756107099522946,0.2023498121899558,-0.047353913185846884,0.21058426554501067,-0.11430718325034335,-0.15205947565209346,-0.10809595706136171,0.16226140505766976,0.04071297855824783
%VB,-0.05215119849311692,-0.21111603086345135,-0.17459458403941538,-0.03992540900373686,0.19899356468797819,-0.2627632971597852,-0.2429069683187299,-0.04798177512814898,0.05277346940426919,-0.4047886606300929,0.2927979972931092,-0.0233552418917283,0.03129304588601045,0.11634396570647373,1.0,0.08271525765108101,-0.2534807274039499,-0.15940262553367224,0.019947449643522137,-0.12289476269071452,-0.08945747322265864,0.031905176721803215,-0.2352168343890731,-0.13138875665229302,-0.09207495681089549,-0.1506811579609732
AVG_WFREQ,-0.051416708062062055,-0.15728119690005704,-0.05632723209997879,-0.08053915286929111,0.25691417263179933,0.08879516264711795,-0.13885776868176494,0.1749169978864115,-0.6745727936027948,-0.1756620333101252,0.24356556469735033,-0.03872792801475455,-0.046162140432012236,0.20838547921083672,0.08271525765108101,1.0,-0.24720988728938548,-0.22414861865488653,0.5003425393072399,-0.41888525677667987,-0.32620362715115647,-0.7968810012505964,-0.2690511034906415,-0.4380102535235944,-0.325535136550489,-0.28817938961356043
AVG_WLEN,-0.103845454508882,0.007472647875952674,-0.07317266232483324,0.050020620525799975,-0.7053617539019803,0.07489066222158097,0.37047289232981306,-0.26235414673204144,-0.023705967465296678,0.5512853221852658,-0.6213784906498075,0.013068328946091482,0.0007820749410578275,-0.1066097281914328,-0.2534807274039499,-0.24720988728938548,1.0,0.23381352348832016,-0.06369730061081796,0.1977983968752293,0.09117121833778294,0.06364987622821286,0.7660115322020472,0.23727222767334272,0.11049151046630455,0.24421094819646338
IS_NATIVE,-0.0806280603316896,0.1650601152463954,0.04758566807476278,0.11539676547427391,-0.12385627864509272,-0.018902180896146037,0.10942769644999681,-0.16850295914098115,-0.15388808263624532,0.040259120302325854,-0.2028615521049692,0.18250293669242137,0.06911448157801997,-0.04756107099522946,-0.15940262553367224,-0.22414861865488653,0.23381352348832016,1.0,0.10020858635850965,0.5480157371603018,0.5245763131392676,-0.08756523787063725,0.27615619254969903,0.6170180108607907,0.6088527098936504,0.8125584744308965
LM,-0.20303907979239044,-0.1799779253353117,-0.021394627213488372,-0.028299011939805684,0.19847729761838664,-0.01071121423469476,-0.029267307584669843,0.10050227842061009,-0.5870819062616096,-0.2762441856277238,0.11370690212892282,0.11301703033510388,0.052006942243001245,0.2023498121899558,0.019947449643522137,0.5003425393072399,-0.06369730061081796,0.10020858635850965,1.0,0.10386923216519103,0.2011817350394361,-0.5400645528967244,0.028791682422779828,0.0787047818806836,0.1896469748624987,0.13385657483196187
LOGTYPES,-0.08748734672951616,0.14040088126356112,0.089148854925589,0.14962052977834747,-0.11996362865419812,-0.09295195032401446,0.09272480760658493,-0.22085430261030645,-0.15220180853998563,-0.09119935727638713,-0.19186134569728028,0.19084710223911472,0.23767289940282713,-0.047353913185846884,-0.12289476269071452,-0.41888525677667987,0.1977983968752293,0.5480157371603018,0.10386923216519103,1.0,0.9431599639538232,-0.06883281969863873,0.2822900084968762,0.9561421470048966,0.8882488755097585,0.7709260780109605
LOGWORDS,-0.11959108236959066,0.16387240735658015,0.07332218495415084,0.12601661016550378,-0.0025861996551292173,-0.08016408471916653,0.03318566399893401,-0.16196475881606393,-0.21256680432794442,-0.16014095026440614,-0.1023980239137113,0.1772860905196142,0.2078554526998023,0.21058426554501067,-0.08945747322265864,-0.32620362715115647,0.09117121833778294,0.5245763131392676,0.2011817350394361,0.9431599639538232,1.0,-0.11350048113876522,0.18634670781001902,0.8800690196784481,0.9354640721645803,0.7658851689031884
SD_WFREQ,0.07497590028086686,0.09684695743875672,0.0013981347040125166,0.011024753826265393,-0.08078427963092136,-0.02160324192550963,0.06478430405148311,-0.052289683885976594,0.7786854809560932,0.12028428757086097,-0.0781216359475805,-0.0628066513736292,-0.035628203672183494,-0.11430718325034335,0.031905176721803215,-0.7968810012505964,0.06364987622821286,-0.08756523787063725,-0.5400645528967244,-0.06883281969863873,-0.11350048113876522,1.0,0.08762320376175539,-0.060670180332512355,-0.11916245047172873,-0.10198617025028942
SD_WLEN,-0.1941752128448158,0.03957548424938425,0.05774682058305265,0.0934988180203884,-0.4570612317496995,0.009481769504726133,0.2841374327413585,-0.2530481589384306,-0.026851755470415364,0.36654622315755164,-0.43969891670007766,0.05562991881118743,-0.05704036694746542,-0.15205947565209346,-0.2352168343890731,-0.2690511034906415,0.7660115322020472,0.27615619254969903,0.028791682422779828,0.2822900084968762,0.18634670781001902,0.08762320376175539,1.0,0.3093864878744298,0.1961117523382027,0.3008600318023637
TYPES,-0.09214711848961374,0.1471990383789275,0.08613780646607055,0.15348615136625016,-0.1567242257687706,-0.07479050468501329,0.1114164793770357,-0.23788161552611872,-0.13824259932239416,-0.04609281524474695,-0.2181791340636106,0.19854189251024956,0.2078644419961097,-0.10809595706136171,-0.13138875665229302,-0.4380102535235944,0.23727222767334272,0.6170180108607907,0.0787047818806836,0.9561421470048966,0.8800690196784481,-0.060670180332512355,0.3093864878744298,1.0,0.9236788538936966,0.7539631338928013
WORDS,-0.11297499489290491,0.17685774212471475,0.07005130440670997,0.12637801430278767,-0.02002743718914932,-0.057986217223260826,0.03805655724390369,-0.18261939270011046,-0.2120443069274529,-0.12381693033080712,-0.11757154058153815,0.18405771057737932,0.17296507557770247,0.16226140505766976,-0.09207495681089549,-0.325535136550489,0.11049151046630455,0.6088527098936504,0.1896469748624987,0.8882488755097585,0.9354640721645803,-0.11916245047172873,0.1961117523382027,0.9236788538936966,1.0,0.7451541533375623
sc1,-0.10529555679544829,0.16801248502351426,0.08441782863794571,0.14684112441324737,-0.10802954489093322,-0.06638272615717894,0.09534393647131151,-0.18913057604831032,-0.19505813875653868,-0.014220959852941521,-0.2021597754037434,0.1811504379032136,0.13942468814319925,0.04071297855824783,-0.1506811579609732,-0.28817938961356043,0.24421094819646338,0.8125584744308965,0.13385657483196187,0.7709260780109605,0.7658851689031884,-0.10198617025028942,0.3008600318023637,0.7539631338928013,0.7451541533375623,1.0
