feature,transform,sign,train_mean,train_sd,train_transformed_mean,train_transformed_sd
WORDS,raw,1.0,408.1891213389121,137.1153803179883,408.1891213389121,137.1153803179883
LOGWORDS,raw,1.0,2.579830783793576,0.18178687389066897,2.581694387290067,0.17225351455965976
TYPES,raw,1.0,161.76652719665273,47.006947890602696,161.76652719665273,47.006947890602696
LOGTYPES,raw,1.0,2.1871170094044188,0.14764770540665484,2.1882041583834564,0.14225659088226497
%FUNC,raw,1.0,0.5079442087523037,0.03846003078863566,0.5079442087523037,0.03846003078863566
%QUESTION,raw,1.0,0.002375135740027153,0.0036319482876371015,0.0023508987568613307,0.003513768639492803
%EXCLAIM,raw,1.0,0.0020011144926722485,0.004247658542607014,0.0019329721812941156,0.003876472535523081
AVG_WLEN,raw,1.0,4.330922141784153,0.25218041340069824,4.330922141784153,0.25218041340069824
SD_WLEN,raw,1.0,2.2077657655959,0.20603524521083208,2.207679459250668,0.2056677654016084
AVG_WFREQ,raw,1.0,7.824476692200636,0.2082657207265828,7.824683200178034,0.20738181111243284
SD_WFREQ,raw,1.0,1.4968160787660296,0.3092718439315262,1.4961412010518995,0.30597545935233567
%CC,raw,1.0,0.03717135154888907,0.012849676455991929,0.0371625288127286,0.012811925663507815
%CD,raw,1.0,0.015320931078653233,0.012490823778439835,0.01528694029368167,0.012330416802557446
%DT,raw,1.0,0.07346304757821297,0.017417606903436765,0.073466221318769,0.017404550301201305
%IN,raw,1.0,0.10275047053349105,0.018354185909608446,0.10277694787806267,0.018227981400530325
%JJ,raw,1.0,0.057257952584868606,0.01643094852997815,0.05725493958756631,0.01641855109626899
%MD,raw,1.0,0.02521679203753966,0.012288518765982233,0.025214257716448876,0.012278055721387165
%NN,raw,1.0,0.21439265178345251,0.02859948886120776,0.21439265178345251,0.02859948886120776
%PRP,raw,1.0,0.08736776150979102,0.026483924766269578,0.08736776150979102,0.026483924766269578
%RB,raw,1.0,0.059033588689543476,0.018301370317664673,0.059033588689543476,0.018301370317664673
%VB,raw,1.0,0.18286157339501802,0.020055260392114378,0.18284577797014395,0.019989192530423923
%MISSPELLED,raw,1.0,0.03204156882976547,0.02258161331295405,0.03176374845503931,0.02090048688947904
%REPEATED,raw,1.0,0.040441749921008456,0.026139788548929156,0.0403771538405096,0.025819580255863672
LM,raw,1.0,-2.296340497735226,0.18961460357579163,-2.2961172551490376,0.18863656045835492
IS_NATIVE,raw,1.0,0.3472803347280335,0.47630510214026256,0.3472803347280335,0.47630510214026256
