spkitemid,score2,average_score
1151.0,5,5.0
1186.0,4,4.5
360.0,3,3.0
1716.0,4,3.5
1578.0,5,4.5
945.0,4,4.0
1783.0,4,4.0
1760.0,6,6.0
813.0,4,4.0
1725.0,4,4.5
1706.0,3,3.0
303.0,5,5.0
138.0,6,5.0
833.0,4,4.5
1066.0,4,4.5
275.0,5,5.5
1529.0,4,4.0
525.0,4,4.5
1614.0,4,4.5
361.0,5,5.0
383.0,5,5.5
705.0,4,4.0
948.0,5,4.5
785.0,4,4.0
512.0,4,4.0
191.0,4,4.0
718.0,5,5.0
112.0,4,4.5
102.0,4,4.0
165.0,5,4.5
1111.0,5,5.5
788.0,4,4.0
1661.0,5,5.0
812.0,4,4.0
1684.0,4,4.0
429.0,4,4.5
93.0,6,5.5
1310.0,3,3.5
1384.0,5,5.0
766.0,4,4.0
668.0,5,5.0
627.0,4,4.0
398.0,5,5.0
680.0,4,4.5
928.0,5,5.0
365.0,5,4.5
395.0,3,3.0
524.0,4,4.0
1038.0,5,5.5
1375.0,5,5.0
1007.0,5,5.0
849.0,4,3.5
228.0,4,4.0
194.0,5,5.0
301.0,4,4.5
1686.0,3,2.5
350.0,4,4.0
471.0,4,4.0
207.0,4,4.0
851.0,4,4.5
749.0,5,5.0
1506.0,4,4.0
1781.0,5,5.0
1402.0,5,4.5
1239.0,5,5.5
1411.0,6,5.5
1287.0,5,5.0
809.0,5,4.5
547.0,4,4.0
1366.0,4,4.0
239.0,4,4.5
209.0,3,3.0
1084.0,5,4.5
866.0,4,3.5
1395.0,4,4.5
666.0,4,4.0
73.0,4,4.0
717.0,4,4.0
1047.0,6,5.5
599.0,4,4.0
1221.0,6,5.0
1035.0,4,4.0
1187.0,5,5.0
574.0,4,4.0
491.0,4,4.0
1295.0,2,2.0
1612.0,4,4.0
77.0,5,5.0
110.0,3,3.0
9.0,5,4.5
1361.0,5,5.0
181.0,5,5.0
669.0,4,4.0
1534.0,5,4.5
1148.0,4,4.5
1296.0,4,4.5
265.0,6,5.5
1541.0,4,4.0
628.0,5,5.5
1773.0,4,4.0
430.0,4,4.0
18.0,4,4.0
1209.0,4,4.0
976.0,4,4.0
188.0,4,4.5
925.0,3,3.5
566.0,4,4.0
1262.0,4,4.0
306.0,4,4.0
638.0,4,4.0
1037.0,4,4.0
753.0,4,4.0
1635.0,5,5.0
920.0,4,4.0
1228.0,4,4.0
1512.0,4,4.0
1264.0,5,4.5
150.0,4,4.0
1027.0,4,4.0
1693.0,5,5.0
1057.0,5,5.0
155.0,5,5.0
34.0,4,4.0
326.0,6,5.0
773.0,4,4.0
1231.0,3,3.0
1304.0,6,5.5
152.0,3,3.0
526.0,4,3.5
1183.0,4,4.0
23.0,5,5.0
163.0,4,4.0
738.0,3,3.0
1374.0,5,5.0
1762.0,4,4.0
316.0,5,4.5
877.0,5,5.5
662.0,3,3.0
1378.0,4,4.5
688.0,5,4.5
1552.0,3,3.0
946.0,4,4.0
1058.0,4,4.0
843.0,4,4.0
137.0,4,3.5
873.0,4,4.5
1269.0,6,5.5
1082.0,5,4.5
1640.0,4,4.0
815.0,5,5.0
285.0,5,5.5
179.0,4,4.0
340.0,5,4.5
330.0,5,5.5
172.0,4,4.0
1558.0,4,4.0
1407.0,5,5.0
375.0,2,2.0
708.0,5,4.5
1471.0,4,4.0
492.0,4,3.5
1504.0,4,4.0
818.0,4,4.0
1660.0,4,4.0
840.0,4,4.0
406.0,4,4.0
416.0,3,3.0
1664.0,4,4.0
208.0,3,3.0
417.0,4,4.0
918.0,5,5.0
261.0,5,4.5
1097.0,5,5.0
709.0,5,5.0
1662.0,4,4.0
640.0,3,3.5
869.0,3,3.0
1252.0,6,5.5
1685.0,4,4.0
1611.0,4,4.0
842.0,4,4.0
151.0,4,4.0
397.0,5,5.0
435.0,5,5.5
898.0,4,4.0
202.0,4,4.0
154.0,6,6.0
42.0,4,4.0
1087.0,5,5.5
787.0,4,4.0
1060.0,4,4.0
1605.0,4,4.0
555.0,6,5.5
1626.0,4,4.0
468.0,4,4.0
132.0,5,5.5
1054.0,4,4.0
1467.0,5,5.0
1242.0,4,4.0
571.0,5,4.5
295.0,5,5.0
220.0,5,5.0
711.0,5,5.0
1456.0,5,5.0
101.0,5,5.0
1437.0,4,4.0
1006.0,4,4.0
1406.0,5,4.5
200.0,4,4.0
941.0,6,6.0
683.0,5,5.0
431.0,6,5.5
394.0,3,3.5
1330.0,4,4.0
1223.0,4,4.5
230.0,4,4.5
1178.0,5,4.5
1339.0,4,4.0
4.0,5,5.0
31.0,6,5.0
539.0,4,4.5
299.0,4,4.0
284.0,4,4.0
650.0,5,5.0
1094.0,4,4.0
1283.0,5,5.0
984.0,4,4.0
932.0,6,6.0
1200.0,4,4.5
149.0,4,4.0
511.0,4,4.0
57.0,4,4.5
1484.0,4,4.5
514.0,4,4.0
990.0,4,4.0
880.0,5,5.0
985.0,5,4.5
906.0,5,5.5
210.0,5,4.5
1409.0,5,4.5
189.0,3,3.0
1503.0,5,4.5
1251.0,4,4.0
1181.0,5,5.0
1145.0,5,4.5
105.0,5,4.5
554.0,4,4.0
860.0,4,4.0
1530.0,4,4.0
1594.0,4,4.0
116.0,2,2.0
719.0,4,3.5
661.0,4,4.0
591.0,4,4.0
1616.0,5,4.5
676.0,4,4.0
1080.0,4,4.0
852.0,5,5.0
1068.0,4,4.5
1281.0,4,4.0
1371.0,6,6.0
1417.0,5,5.0
695.0,4,4.5
488.0,4,4.0
1240.0,5,5.0
1075.0,4,4.0
1644.0,4,4.0
1695.0,5,4.5
364.0,5,5.5
1597.0,5,5.5
979.0,5,5.0
651.0,4,4.0
1557.0,4,4.0
1687.0,5,5.0
934.0,4,4.0
74.0,3,3.5
799.0,4,4.0
587.0,4,4.5
513.0,4,4.0
1495.0,4,4.0
1702.0,4,4.0
21.0,4,4.0
868.0,6,6.0
263.0,5,5.0
1362.0,4,4.5
760.0,5,4.5
1545.0,4,4.0
148.0,4,4.5
756.0,4,4.0
1472.0,4,4.0
977.0,4,3.5
1573.0,5,5.0
283.0,3,3.0
1098.0,5,4.5
71.0,5,5.0
609.0,3,3.5
459.0,4,4.0
1733.0,4,4.0
1486.0,4,4.0
470.0,4,4.0
1320.0,6,5.5
1245.0,5,5.0
1479.0,4,3.5
1532.0,3,3.0
1050.0,5,5.5
724.0,4,4.0
994.0,5,4.5
288.0,4,4.0
701.0,4,4.0
490.0,4,4.0
768.0,4,4.0
1270.0,6,5.0
1628.0,5,5.0
1523.0,4,4.0
3.0,3,3.5
1025.0,4,4.0
570.0,4,4.0
458.0,5,4.5
714.0,5,4.5
723.0,5,5.0
1081.0,3,3.5
1476.0,4,4.5
1273.0,5,5.0
1430.0,4,4.0
890.0,4,4.0
988.0,4,4.0
1163.0,5,5.0
795.0,4,4.0
641.0,3,3.5
1576.0,4,4.0
1497.0,5,4.5
1581.0,6,5.5
1657.0,4,4.0
793.0,6,5.5
1643.0,5,5.5
312.0,4,3.5
58.0,3,3.5
269.0,4,4.5
957.0,5,4.5
48.0,5,5.5
874.0,6,6.0
1774.0,4,5.0
267.0,5,5.0
1010.0,4,4.0
1736.0,5,5.5
1.0,4,4.0
1752.0,5,4.5
1745.0,5,5.0
251.0,4,4.5
914.0,4,4.5
1173.0,4,4.0
1172.0,4,3.5
1435.0,5,5.0
658.0,4,4.0
605.0,3,3.0
377.0,5,5.0
1079.0,4,4.0
845.0,5,5.0
1491.0,6,5.5
823.0,4,4.0
1217.0,2,2.0
319.0,5,4.5
713.0,5,5.0
601.0,4,4.0
1579.0,4,4.0
421.0,3,3.0
282.0,4,4.0
568.0,4,4.0
439.0,5,5.0
543.0,4,4.0
1636.0,5,5.0
465.0,4,4.0
1302.0,5,5.0
692.0,3,3.0
1742.0,3,3.0
1370.0,5,4.5
1772.0,5,5.0
333.0,4,4.5
1225.0,4,4.0
1675.0,6,5.5
1769.0,5,4.5
1095.0,4,4.0
678.0,4,4.0
1139.0,5,5.0
1743.0,5,4.5
26.0,4,4.5
88.0,5,4.5
825.0,3,3.0
959.0,4,4.5
1352.0,4,4.0
1022.0,5,5.5
1282.0,5,5.0
426.0,4,4.5
1708.0,3,3.5
128.0,4,4.5
739.0,4,4.5
1329.0,3,3.5
456.0,4,3.5
25.0,4,4.0
222.0,4,4.5
1670.0,4,4.5
1748.0,5,4.5
199.0,6,5.5
83.0,4,3.5
489.0,5,4.5
1191.0,4,4.0
675.0,4,4.0
1372.0,4,4.0
741.0,4,4.0
731.0,4,4.0
16.0,6,6.0
221.0,3,3.0
1518.0,5,5.0
1308.0,4,4.5
386.0,5,5.0
1440.0,5,5.0
1140.0,5,4.5
486.0,5,4.5
592.0,4,4.0
1142.0,4,4.0
1011.0,4,4.0
1129.0,4,4.0
1319.0,4,4.5
1700.0,5,4.5
373.0,4,4.0
1071.0,4,4.0
1688.0,4,4.0
1381.0,4,4.0
278.0,4,4.0
266.0,5,5.5
807.0,5,5.5
1083.0,4,3.5
544.0,4,4.0
611.0,5,4.5
337.0,5,5.0
908.0,5,5.0
100.0,4,3.5
819.0,4,4.0
671.0,4,4.0
1580.0,4,4.0
1601.0,4,4.0
1109.0,4,4.0
1653.0,4,4.0
1168.0,4,4.0
1291.0,4,4.0
801.0,5,4.5
532.0,4,4.0
736.0,5,5.0
814.0,4,4.0
1426.0,5,5.0
1399.0,4,4.0
1196.0,4,4.0
1555.0,1,1.0
770.0,4,4.0
65.0,4,4.5
516.0,4,4.0
224.0,4,4.0
589.0,3,2.5
1254.0,4,4.0
1450.0,5,5.0
244.0,3,3.5
1307.0,5,4.5
529.0,4,3.5
1250.0,6,6.0
1669.0,5,5.0
1648.0,5,5.5
602.0,4,4.0
1650.0,4,4.0
999.0,6,6.0
99.0,4,4.0
625.0,6,5.5
1567.0,5,5.5
1211.0,5,4.5
372.0,5,5.0
168.0,4,4.5
1001.0,4,4.0
759.0,4,5.0
531.0,6,5.0
1184.0,5,5.0
1260.0,4,4.0
1055.0,4,4.0
309.0,5,4.5
822.0,4,4.0
1224.0,5,4.5
1609.0,5,4.5
607.0,5,4.5
53.0,4,4.0
378.0,5,5.5
1298.0,4,3.5
1598.0,5,5.0
30.0,4,4.0
1341.0,5,5.0
863.0,6,5.0
1404.0,5,5.0
1782.0,4,4.0
1031.0,4,4.5
846.0,4,4.0
584.0,5,4.5
145.0,5,5.0
1735.0,3,3.5
1647.0,3,3.0
982.0,4,4.0
855.0,4,4.0
935.0,5,4.5
670.0,4,4.0
796.0,4,4.0
969.0,4,4.0
466.0,5,4.5
393.0,4,4.0
1102.0,4,4.0
1749.0,3,3.0
216.0,4,4.0
1020.0,4,4.0
872.0,4,4.0
1166.0,5,4.5
573.0,5,5.0
1433.0,4,4.0
1326.0,4,4.0
1107.0,2,2.0
1249.0,5,5.0
1120.0,4,4.0
1560.0,4,4.5
857.0,4,4.0
240.0,4,4.0
98.0,6,5.5
1718.0,4,4.5
1190.0,5,4.5
1297.0,4,4.0
1222.0,3,3.0
139.0,4,3.5
1739.0,6,5.0
402.0,4,4.0
119.0,5,5.0
583.0,5,4.5
620.0,4,3.5
1348.0,4,3.5
1607.0,4,4.5
712.0,5,4.5
1070.0,3,3.5
176.0,5,5.0
1013.0,4,3.5
124.0,3,3.5
1132.0,4,4.0
178.0,4,4.0
1498.0,4,4.0
1624.0,4,4.0
951.0,4,3.5
1550.0,4,4.0
991.0,3,3.0
615.0,5,4.5
68.0,4,4.5
1422.0,5,4.0
1596.0,5,4.5
56.0,5,5.0
850.0,5,5.0
689.0,4,4.0
144.0,5,4.5
1734.0,4,4.5
1122.0,5,5.0
1112.0,4,4.0
624.0,4,4.0
1392.0,3,2.5
1551.0,5,4.5
606.0,4,4.0
1599.0,5,4.5
938.0,5,5.5
201.0,5,4.5
20.0,3,3.0
1633.0,4,4.0
1033.0,5,5.0
450.0,3,3.5
1741.0,4,4.0
1499.0,5,5.0
1299.0,6,5.5
1002.0,4,4.0
51.0,4,4.5
474.0,3,3.0
66.0,4,4.5
62.0,4,4.0
129.0,5,5.0
11.0,4,4.0
1707.0,3,3.5
922.0,4,4.0
341.0,4,4.0
1044.0,4,3.5
1101.0,4,4.0
403.0,4,4.0
1547.0,4,3.5
387.0,4,4.0
667.0,5,4.5
414.0,4,4.0
254.0,5,5.0
69.0,4,3.5
1158.0,5,4.5
931.0,4,4.0
596.0,3,3.0
193.0,4,4.0
1115.0,5,4.5
881.0,4,4.0
451.0,4,4.0
1315.0,5,4.5
1572.0,4,4.0
1405.0,4,4.5
425.0,5,5.0
548.0,4,4.0
449.0,1,1.0
391.0,6,6.0
1692.0,4,4.5
904.0,4,4.0
304.0,5,4.5
677.0,4,4.0
1356.0,4,4.0
1592.0,1,1.0
1005.0,5,4.5
423.0,5,4.5
1203.0,4,4.0
1645.0,5,5.5
1157.0,3,3.0
1683.0,4,3.5
1106.0,4,4.5
552.0,3,3.0
841.0,4,3.5
600.0,3,3.0
593.0,5,5.0
1585.0,5,4.5
305.0,5,5.0
1744.0,6,5.5
832.0,1,1.0
1750.0,4,4.0
1535.0,3,3.0
789.0,4,3.5
422.0,3,3.5
1114.0,5,5.0
502.0,3,3.5
366.0,4,4.0
637.0,4,4.0
91.0,4,4.0
1236.0,5,5.0
1363.0,4,4.0
1201.0,6,6.0
496.0,5,4.5
174.0,4,4.0
180.0,5,5.0
778.0,4,4.5
1334.0,4,4.0
1582.0,5,5.0
1442.0,3,3.0
697.0,4,4.0
41.0,1,1.0
115.0,4,4.5
998.0,4,4.5
802.0,4,4.0
1470.0,5,5.0
721.0,4,4.5
993.0,5,4.5
1629.0,4,5.0
1604.0,4,4.0
966.0,4,3.5
1220.0,5,5.0
1349.0,5,5.5
790.0,4,4.5
1155.0,4,4.0
656.0,5,4.5
561.0,4,4.0
1156.0,5,5.0
655.0,4,3.5
1593.0,5,5.0
1241.0,5,4.5
7.0,5,5.0
310.0,5,5.0
1401.0,5,5.0
33.0,3,3.0
980.0,5,5.0
553.0,4,4.0
983.0,4,4.0
1622.0,5,5.0
1003.0,4,4.5
8.0,5,5.0
1704.0,4,4.0
1023.0,4,4.0
1259.0,5,5.0
1394.0,3,3.0
685.0,4,4.0
153.0,4,4.5
1396.0,5,4.5
1698.0,4,4.0
621.0,4,4.0
1306.0,4,4.0
1367.0,3,3.0
964.0,6,5.5
933.0,4,4.0
1631.0,4,4.0
235.0,4,3.5
1385.0,5,4.5
1731.0,4,4.5
1556.0,4,4.0
699.0,6,6.0
1714.0,3,3.0
644.0,4,4.0
1408.0,4,4.0
665.0,4,3.5
1164.0,5,4.5
363.0,4,4.0
410.0,4,4.0
913.0,5,5.0
971.0,5,4.5
844.0,4,4.0
332.0,4,4.0
185.0,4,4.0
59.0,4,4.0
1709.0,4,4.0
653.0,4,4.0
614.0,3,3.0
743.0,5,5.0
259.0,5,4.5
186.0,4,4.0
217.0,5,5.0
710.0,5,5.5
90.0,4,3.5
1507.0,5,4.5
944.0,4,4.0
134.0,5,5.0
754.0,4,4.5
1383.0,5,4.5
1765.0,3,2.5
1658.0,5,4.5
936.0,4,3.5
558.0,5,5.0
371.0,4,4.0
504.0,5,5.0
135.0,4,3.5
308.0,3,3.0
60.0,2,2.0
1313.0,4,4.0
560.0,4,4.0
1785.0,4,4.0
974.0,1,1.0
1360.0,4,4.0
1588.0,5,5.0
958.0,4,4.0
479.0,5,5.0
1478.0,4,4.5
1482.0,3,3.5
1564.0,4,4.0
1787.0,3,3.5
1413.0,4,4.5
92.0,6,5.5
771.0,4,4.5
346.0,6,6.0
1568.0,3,3.5
780.0,4,4.5
1676.0,4,4.0
1072.0,4,4.0
247.0,4,4.0
1458.0,5,4.5
10.0,4,4.5
797.0,5,5.0
992.0,2,2.5
1192.0,4,4.0
243.0,6,5.5
1267.0,4,4.0
1126.0,5,5.0
1525.0,4,4.0
1162.0,4,4.0
929.0,5,5.0
362.0,5,5.0
1621.0,5,5.0
1388.0,4,4.0
817.0,6,6.0
5.0,4,4.0
630.0,4,4.0
315.0,5,5.0
1483.0,3,3.0
328.0,4,4.0
811.0,4,4.0
737.0,4,4.0
764.0,4,4.5
1410.0,3,3.5
968.0,4,4.5
1364.0,5,4.5
434.0,3,3.5
1206.0,5,5.5
519.0,6,6.0
205.0,5,5.0
956.0,4,4.5
427.0,5,5.5
690.0,4,4.5
1740.0,4,4.0
1595.0,4,4.0
1100.0,4,4.5
1469.0,4,4.0
1138.0,4,4.0
1160.0,4,4.0
1134.0,3,3.0
281.0,3,3.5
237.0,4,4.0
411.0,6,6.0
1519.0,4,4.0
1445.0,4,4.0
861.0,4,4.0
1076.0,5,5.0
598.0,4,4.0
170.0,4,4.0
55.0,4,4.0
257.0,4,4.0
1387.0,4,3.5
352.0,3,3.5
246.0,6,5.5
1324.0,4,4.0
1533.0,3,3.0
826.0,5,5.0
830.0,5,5.0
582.0,5,5.5
978.0,4,4.0
487.0,4,4.0
1770.0,5,5.0
455.0,2,2.0
1548.0,4,4.0
131.0,5,5.0
1365.0,4,4.0
1350.0,5,5.0
1357.0,4,4.0
457.0,5,5.0
469.0,5,4.5
917.0,3,3.0
996.0,4,3.5
962.0,5,4.5
659.0,5,5.0
1728.0,5,4.5
1143.0,4,4.0
1212.0,4,4.5
27.0,2,2.0
673.0,3,3.0
1309.0,4,4.0
1492.0,4,4.0
839.0,5,5.0
1312.0,4,4.5
1776.0,5,4.5
1538.0,5,4.5
1368.0,4,3.5
1775.0,5,4.5
679.0,4,4.0
433.0,5,5.5
1380.0,6,6.0
136.0,5,4.5
1779.0,5,5.0
769.0,5,5.0
1117.0,4,3.5
415.0,4,3.5
727.0,3,3.0
1613.0,4,4.5
1232.0,5,5.0
1561.0,5,4.5
1610.0,6,5.5
1376.0,4,4.0
1455.0,4,4.0
542.0,5,5.0
775.0,4,3.5
1696.0,5,4.5
1244.0,4,4.0
943.0,5,4.5
384.0,4,4.0
15.0,3,3.0
187.0,2,2.5
324.0,4,4.0
107.0,5,5.0
1325.0,5,5.0
1627.0,4,4.0
64.0,3,3.5
1073.0,4,4.0
639.0,3,3.0
1757.0,4,4.0
523.0,5,5.0
164.0,4,4.0
1108.0,4,4.5
1500.0,4,4.0
1030.0,4,4.0
551.0,4,4.0
1021.0,5,4.5
1137.0,4,4.0
1717.0,4,4.0
1642.0,4,4.0
1587.0,5,5.0
1189.0,5,4.5
1432.0,4,4.0
1147.0,5,4.5
1544.0,5,5.0
76.0,4,4.0
104.0,5,5.0
182.0,4,4.0
897.0,5,4.5
1337.0,4,4.0
355.0,3,3.0
1234.0,4,4.0
1549.0,3,3.0
919.0,6,5.5
197.0,5,5.0
258.0,5,5.5
493.0,4,4.0
970.0,6,5.5
1321.0,4,4.5
1623.0,5,4.5
648.0,3,3.0
1286.0,4,4.0
125.0,2,2.5
242.0,5,4.5
342.0,4,4.5
645.0,4,4.0
1354.0,4,4.0
632.0,5,5.0
997.0,5,5.0
735.0,4,4.5
1049.0,5,5.0
382.0,4,3.5
1014.0,4,4.0
1034.0,4,4.0
973.0,3,3.0
550.0,4,5.0
1353.0,5,5.0
942.0,4,4.5
419.0,3,3.0
1569.0,2,2.5
798.0,4,4.5
892.0,5,5.0
1373.0,4,4.0
1571.0,4,3.5
127.0,5,4.5
1586.0,3,3.5
915.0,5,5.0
1738.0,3,3.5
1268.0,4,4.0
329.0,4,4.0
950.0,5,5.0
184.0,4,4.0
1652.0,4,4.0
297.0,5,4.5
1428.0,3,3.0
1755.0,4,4.0
223.0,4,4.0
703.0,4,4.0
1438.0,5,4.5
902.0,5,5.0
96.0,4,3.5
118.0,6,6.0
706.0,5,5.0
505.0,5,5.0
1052.0,5,4.5
334.0,5,5.0
161.0,5,5.0
1214.0,5,5.0
1116.0,4,4.0
533.0,4,4.0
921.0,4,4.0
1531.0,4,4.0
472.0,6,6.0
494.0,5,4.5
884.0,4,4.0
1415.0,6,6.0
953.0,6,6.0
1015.0,5,5.0
273.0,4,4.0
1018.0,5,5.0
1729.0,4,4.0
204.0,5,5.0
1393.0,6,5.5
1227.0,4,4.0
1318.0,4,4.0
1732.0,4,4.0
829.0,4,4.0
1690.0,5,4.5
1062.0,5,5.0
569.0,4,4.0
972.0,4,4.0
322.0,4,4.0
1000.0,6,6.0
1092.0,5,5.0
440.0,4,4.0
1516.0,4,4.0
1040.0,3,3.0
594.0,4,3.5
1182.0,3,3.5
1379.0,5,5.0
1678.0,4,4.0
1654.0,4,4.5
875.0,6,5.5
157.0,4,4.5
1764.0,4,4.0
448.0,4,4.5
250.0,5,5.0
369.0,4,4.0
930.0,4,4.0
1591.0,5,4.5
924.0,4,4.0
728.0,4,4.0
1464.0,5,5.0
198.0,5,5.0
824.0,5,4.5
506.0,3,3.5
1089.0,4,4.0
245.0,3,3.5
518.0,4,4.0
147.0,6,6.0
1124.0,4,4.5
870.0,5,4.5
1377.0,4,4.0
876.0,4,4.0
437.0,4,4.0
54.0,5,5.0
452.0,3,3.5
476.0,4,4.0
1198.0,4,3.5
1074.0,4,4.0
1724.0,5,5.0
1340.0,4,4.0
1266.0,4,4.0
1257.0,4,4.5
975.0,4,4.0
900.0,5,5.0
389.0,4,4.0
1255.0,5,5.5
120.0,4,4.0
903.0,4,4.0
159.0,5,5.0
781.0,5,5.0
36.0,5,5.0
407.0,4,4.0
1161.0,4,4.0
960.0,3,3.5
1443.0,6,6.0
1226.0,4,4.0
1416.0,4,4.0
477.0,3,3.0
510.0,3,3.5
52.0,4,3.5
1475.0,4,4.0
61.0,4,4.0
1004.0,3,3.0
700.0,4,4.0
752.0,4,3.5
1566.0,4,4.0
349.0,4,4.0
277.0,5,4.5
806.0,3,3.0
418.0,6,6.0
1128.0,4,4.0
169.0,3,3.0
1453.0,5,4.5
1177.0,3,3.0
1758.0,5,5.0
742.0,5,5.0
196.0,4,4.0
652.0,4,4.5
287.0,6,6.0
1429.0,4,3.5
463.0,4,4.0
786.0,4,4.0
1768.0,4,4.0
1218.0,5,4.5
1347.0,4,4.0
733.0,4,4.0
480.0,4,4.0
1761.0,4,4.0
989.0,4,4.5
751.0,4,4.0
1502.0,4,5.0
379.0,4,4.5
38.0,4,4.0
1390.0,4,4.0
1651.0,4,4.5
541.0,4,4.0
1663.0,5,4.5
499.0,5,4.5
899.0,4,4.0
1446.0,5,5.0
590.0,3,3.0
581.0,4,4.0
325.0,4,4.5
160.0,4,4.0
1780.0,4,4.5
255.0,4,4.0
1747.0,4,4.0
1524.0,3,3.0
954.0,5,5.0
218.0,4,4.0
1088.0,4,4.0
271.0,4,4.0
1043.0,5,4.5
654.0,5,5.0
1463.0,4,4.0
1185.0,4,4.0
443.0,4,4.0
1697.0,4,4.0
1327.0,6,5.5
