feature,coefficient
Intercept,4.256903765690379
%CC,-0.0015418042521029253
%CD,0.028020897895851795
%DT,0.016641658514583334
%EXCLAIM,0.02193870396599602
%FUNC,0.08157823624588666
%IN,-0.03213992503968729
%JJ,0.0008725369700348831
%MD,0.0013880009081403812
%MISSPELLED,-0.04046863011914676
%NN,0.013092096475511255
%PRP,-0.02135456645486205
%QUESTION,0.023342170531781514
%RB,-0.017095207698594413
%REPEATED,0.002315155960906364
%VB,-0.024050919612739006
AVG_WFREQ,-0.0042148107492550576
AVG_WLEN,0.1282085217650434
LM,-0.015561315256088167
LOGTYPES,0.09807141296521524
LOGWORDS,0.4315296785559963
SD_WFREQ,-0.010528977827242528
SD_WLEN,0.017256531931404764
TYPES,0.15947343385202167
WORDS,-0.06887849190905682
