feature,coefficient
Intercept,4.256903765690379
%CC,-0.0019275078501950027
%CD,0.035030711966256414
%DT,0.02080479891229574
%EXCLAIM,0.027426973339763912
%FUNC,0.10198615716264874
%IN,-0.04018017055938215
%JJ,0.0010908141270421963
%MD,0.0017352284784980462
%MISSPELLED,-0.050592416083235746
%NN,0.01636726497390258
%PRP,-0.02669670577384664
%QUESTION,0.029181536423467984
%RB,-0.021371809679997612
%REPEATED,0.002894324154954317
%VB,-0.03006758886203193
AVG_WFREQ,-0.005269203788480063
AVG_WLEN,0.16028165172521588
LM,-0.019454192887688876
LOGTYPES,0.12260532951075888
LOGWORDS,0.5394827792661208
SD_WFREQ,-0.013162946845462646
SD_WLEN,0.02157349139461509
TYPES,0.19936791277366722
WORDS,-0.08610939662620488
