,lower,upper,both,lowerperc,upperperc,bothperc
%CC,0,2,2,0.0,0.17,0.17
%CD,0,4,4,0.0,0.33,0.33
%DT,1,0,1,0.08,0.0,0.08
%EXCLAIM,0,16,16,0.0,1.34,1.34
%FUNC,0,0,0,0.0,0.0,0.0
%IN,2,0,2,0.17,0.0,0.17
%JJ,0,1,1,0.0,0.08,0.08
%MD,0,1,1,0.0,0.08,0.08
%MISSPELLED,0,9,9,0.0,0.75,0.75
%NN,0,0,0,0.0,0.0,0.0
%PRP,0,0,0,0.0,0.0,0.0
%QUESTION,0,9,9,0.0,0.75,0.75
%RB,0,0,0,0.0,0.0,0.0
%REPEATED,0,5,5,0.0,0.42,0.42
%VB,0,3,3,0.0,0.25,0.25
AVG_WFREQ,3,0,3,0.25,0.0,0.25
AVG_WLEN,0,0,0,0.0,0.0,0.0
LM,2,0,2,0.17,0.0,0.17
LOGTYPES,8,0,8,0.67,0.0,0.67
LOGWORDS,9,0,9,0.75,0.0,0.75
SD_WFREQ,0,3,3,0.0,0.25,0.25
SD_WLEN,0,1,1,0.0,0.08,0.08
TYPES,0,0,0,0.0,0.0,0.0
WORDS,0,0,0,0.0,0.0,0.0
