,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
%CC,0.06123816508274875,0.07063529316006921,0.12255537797166609,0.04057496748383507,-0.2664265187612118,-0.46379335974470964,-0.4713002316933011,-0.24200619074505636,-0.016757910562519723,0.08539665936169254,-0.38097919750684994,-0.18639708548188774,-0.07170853879707748,-0.3409478871017651,-0.18271860178277446,0.059984656993912415,0.20683634485972346,-0.060324011523443924,-0.0489440271182191,0.11130387106584759,0.007992636307082787,-0.018871072107351512,-0.016974698294940745,0.008329889951985582
%CD,-0.11070568891561937,0.020084251892414102,0.08729238830972635,-0.1648391162241996,0.4079968057065768,0.2258064976116654,-0.42007708240215574,-0.2342964689697336,-0.15972361483343234,0.12723298983111647,0.48692142963398677,0.18214473928439134,0.019286685107151997,-0.17346306150050514,-0.31399824685680533,-0.0082694797675051,0.13769256575812167,-0.027972221827126765,0.008352849289148881,0.20314133205855417,-0.02039281616719445,0.016066650974377622,0.029793250920427537,-0.002484767749261871
%DT,-0.053816615066114036,0.017941566274765036,-0.021000886314548807,-0.5007089028937559,0.11367268465265133,-0.21237711454110944,0.470044244803777,-0.08932359120078127,-0.370956775507343,-0.2494246531986895,0.00514566065884018,-0.24405141352020582,0.056536105729569866,-0.09041275397163953,-0.02128244136789908,0.19439497966478014,0.2651095276544779,-0.1624241353035469,0.07469105885594345,0.21421387909204523,0.01385013149046641,-0.02001822382331939,-0.030491654077586257,0.003164246102317028
%EXCLAIM,-0.08783808975285415,-0.05816338445404849,0.04743772664064479,0.24761650919816514,0.4881351215595462,-0.10725597213504323,-0.024532399767157743,0.05423549297645309,0.22491048096842486,-0.009414088425934938,-0.10579852480191915,-0.4879467958910684,0.587082018471403,0.08371498204240993,-0.07779052581719258,-0.102089613425096,0.05237619341380413,0.025211422395354854,0.004072384076968766,0.02145165274062384,0.0036218175206849464,0.004444877761298741,0.00422736496143644,-0.0013646940047511353
%FUNC,0.23446550729373283,-0.2576536533908781,0.199130615851586,-0.2661076483602167,0.03933856986323272,-0.15866434599451384,0.09353904648492835,0.06347593941825073,0.06886464969369292,0.19963303321486864,0.042322569038544255,-0.05222545217770788,0.06207212063904611,-0.3282170466090858,-0.0907656734710794,0.06566985105940217,-0.5762310995277152,0.31418670680897903,0.3136178384069194,0.057901172927888656,-0.07918892464176529,0.06660599069275472,0.10994356524792609,-0.013030710522135936
%IN,0.01963885824236672,0.06704256487736163,-0.12302426937179294,-0.4625890892748496,-0.012916147443221273,-0.054286869319517456,0.07644756765559753,0.10440132316003413,0.7050210386791256,0.22528308097958816,-0.03859344481421889,0.05965128930077481,-0.09546373272751327,0.20212893546835856,-0.27325142749494225,0.011219243311846419,0.17908781655603248,-0.05676033334600215,-0.11555732037769033,0.13475115387414724,-0.01613275707097689,0.023973916771530535,-0.02968181935606473,0.0003668045866424489
%JJ,-0.1447237162345661,0.1354719219222191,-0.15004157018790237,0.08832282806490821,-0.2299295606814766,-0.06864264828998169,-0.08006344821444236,0.35292611830499604,-0.2151979501727552,0.4401764121934741,0.3363383841481065,-0.4900688690278962,-0.16655465137032874,0.18496490127821744,0.018905954454211577,0.06326553343982631,-0.06542687722451859,0.04367644582889078,-0.007535352278705823,0.27300323848303004,0.005152429819718004,0.009859780142472676,-0.035690055130299166,0.0005709373479877933
%MD,0.18136950651746087,-0.05497151412786891,0.02329318579435475,-0.006258292099266681,-0.04214518047403099,0.01207420044977534,-0.22086756630080082,0.6740828430226072,-0.1762019662160772,-0.3885038881810197,-0.1272159221424267,0.18907908337678683,0.12991667536517207,0.08900652197500128,-0.3961402949733248,0.10648695911548493,0.006743642779028727,0.009998673211586647,-0.025898327043897135,0.1744183060636774,-0.011314256550031685,-0.005456507125947625,-0.0020524062513915388,-0.005011107449464854
%MISSPELLED,-0.016369527778239117,0.3040116871984646,0.41576898607532625,-0.037237331138245254,-0.04037409556219319,0.07516066562460094,0.08002476146350548,0.07592804495111678,0.02892714558685316,-0.07691808112551529,0.01985145083593671,-0.03471842552117611,-0.0678293272065656,-0.0033140489696785224,0.06831085835931923,-0.16530858534223533,0.368103065974295,0.7176202896179342,0.06243782786854913,0.021965508860188453,0.06064113040456528,-0.0998955596259158,-0.010119862410429413,0.0058243908700929626
%NN,-0.15225012143287206,0.3381897607328192,-0.21794432132948824,-0.12858105212679793,0.04543705950484929,0.11069711247030563,-0.1585715470693979,-0.18383838850225265,0.010780085572592583,-0.2197294039952675,-0.27567044711068245,0.04686561561532627,0.046274914442091405,0.11469136621399668,0.21222589176586135,-0.18230232404772,-0.3920468578887422,0.1140829602479611,0.009761842262322289,0.5800105900937006,-0.03038397745917762,-0.0010141102083305947,-0.029153598676153834,-0.0005239584993940394
%PRP,0.25861014362071694,-0.22655492303011932,0.20219699284248582,0.07003154727590186,0.07438978618433001,0.1616087979717774,-0.06842301233838165,0.1518467043080965,0.1037396146972159,0.21690832414569924,-0.0868413237726738,0.1438623964299825,0.08152221009533003,-0.08097302978459223,0.5460361505962178,0.25023626910190927,0.2894283869500489,-0.16971823733549887,0.14221082283081252,0.4251237233131874,0.020148147253368925,-0.014815728789076887,-0.04928423801865708,0.0029294659988281977
%QUESTION,-0.08789739947600898,-0.1208593831686891,0.024163197424711905,0.21050709448285715,0.5098315283467494,-0.0304164085854171,0.038540444061515376,0.08900887236957815,0.09763637771225785,-0.15485466560054187,-0.17735656957871337,-0.1635309812526106,-0.7321424159697395,-0.0486260505185952,-0.04531805751122989,0.1486458252813009,-0.051556257570739075,0.03514644835061356,0.0003684175179123179,0.06511875197313262,-0.010629834681256837,-0.00017234244721507912,-0.001648664015910011,-0.001462176593847898
%RB,-0.0560098822122848,-0.1456910540617892,0.10343492346259453,0.30269955381135977,-0.2154636511529942,-0.3663558771088323,0.10584843705327154,-0.1348752081948462,0.3114361328906078,-0.418932660672535,0.5256614460738596,0.07277685268220514,0.002968269503384458,-0.009425527528325931,0.010045073750819445,0.0502457540007396,-0.03995390740953226,0.00337941741935563,-0.04848071537065844,0.31528472450567585,0.029333350165705187,0.028901018363385326,-0.03706565439212774,0.0024442427605126456
%REPEATED,0.05165079491682385,-0.13215891834357774,-0.07800655367592349,-0.09442392079031237,-0.28692552240391545,0.5796121500835723,-0.13196353060046,-0.0888720019434523,0.19592583726487828,-0.3190610552354552,0.04076543263182629,-0.46881505963930387,-0.017554993360741133,-0.2118188605213373,-0.014729490787968466,0.194578856060536,0.041948649724348225,0.02074666665991591,-0.031610326257354084,-0.03481688535274501,-0.0583505591128667,0.052219626215077565,0.2548981811876865,-0.029670540436145178
%VB,0.14448874094928468,-0.11153296033036834,0.16496972901104187,0.330549815316427,-0.1427302784650662,0.2828656946591399,0.38217811689451403,-0.297120816582271,-0.12028145185721326,0.219777676713129,-0.208578980459098,0.029113105493565244,0.009813028964786455,0.16755356819364403,-0.49271345346950657,0.018397032176430263,-0.0019666130518919064,0.009127987897621955,-0.03947832348604202,0.33674970378625163,-0.015225721983658862,0.018377790403252096,-0.038200543850231396,0.0025174598832077835
AVG_WFREQ,0.26687400357447155,-0.18062678109144403,-0.4035133676453654,0.008671436328770836,0.05167499659722562,-0.04862409654789911,-0.06359363386418823,-0.13840315066176245,-0.02249426205123769,0.005513972819526932,0.05299767431451901,-0.008456691678054185,0.022791210320561934,0.08108473753442516,-0.020750857292442488,0.13938741320146492,0.02648074222554361,0.2524271318940355,-0.019584814030345173,0.002431022210645432,0.1233983333788858,-0.7685259692773582,-0.05712964422277296,0.02676285578716809
AVG_WLEN,-0.28098719958651264,0.22343789034860645,-0.2666077133283244,0.20642354827395512,-0.07022424345264616,0.04167371746087686,0.06957693148206018,0.05099023724636287,0.13263963600700832,0.008245657921981439,-0.03771952716680371,0.12679470471373447,0.04416351713664377,-0.1647090000283914,-0.1539034891102021,0.1665460847914181,0.13984846322018774,-0.04188539794567541,0.7760263151122225,-0.02701713596037789,-0.02347138342731009,-0.052664064742903464,0.0028012767743698097,-0.008183617403156209
LM,0.037043448263977215,-0.30615035633460297,-0.3152565090511289,0.033172593003192925,-0.03490919225412936,0.02330416142800118,0.12265575360853756,0.15409108908595773,-0.02638420763316901,0.020915315336796428,-0.0025892536683309454,-0.006025298634097312,-0.08660481266021648,-0.3675110552660335,-0.008175477944241385,-0.7379089804819864,0.212684457077903,-0.005430381031654749,0.01722516706702762,0.16307776584955505,0.0028320553288528395,0.037565643965752675,0.04434923909751271,-0.0018112067682407539
LOGTYPES,-0.37311952355543493,-0.24547226139852227,0.10907443831802101,-0.04019460820419039,-0.06719311449366913,-0.05647999712526471,-0.021925970021045533,0.017065721198175298,-0.037890163900680285,0.03888397277543518,-0.08054590783040756,0.08039241682316169,0.021919225082923776,0.11394313688477024,0.036666575312729065,-0.001853592754400241,0.05155617854106137,0.041595320785591354,-0.044069940618122916,0.032391250903071225,-0.5508398508624572,-0.2320868389916792,0.19254532046566758,-0.5882888549302149
LOGWORDS,-0.33096839669253686,-0.31011617126763985,0.09701976329318672,-0.10228561157026717,-0.10396911258022802,0.10291290527679726,-0.07689691950963105,0.00715286288635004,0.004753108375698363,-0.035194474689567164,-0.05810422513934657,-0.035950235478371825,0.020330017640541098,0.010291794120972444,6.90063467601216e-05,-0.0016888995407533913,-0.020979089158038002,0.06581331034358207,0.023811976108032522,-0.03904957701009445,-0.33300187371611206,-0.07665584910362225,-0.5877286118514873,0.5210961759016925
SD_WFREQ,-0.06346320631522089,0.2848746118705074,0.41871462649141783,-0.005241875069612703,-0.03480821685900148,0.1272351619856108,0.10988806236635648,0.16212082520091597,0.11067916266107865,-0.008367407615473008,0.046588209384491555,-0.08088511491253322,-0.03789518006561359,-0.24221479806202792,-0.042379026665544314,-0.20614716115093767,-0.20682656132543908,-0.4441279334503302,-0.028944524002296263,0.007615566488663572,0.069660404418316,-0.558053351958617,-0.0294493729983025,0.014665019055368413
SD_WLEN,-0.27956997266791456,0.13935803618502926,-0.20587502551540418,0.1338864454676067,0.0380842423940591,0.04535794312736212,0.22053317042141315,0.1553673340964201,0.043130577219142256,0.14377249645815474,-0.04968097218304729,0.18229820922373158,0.16241684325899952,-0.5384926784604782,-0.0003244266282373051,0.32862094091922006,-0.03675503374821593,0.18888620417766996,-0.49110656059021257,0.053959730305376034,0.028017225310691424,0.01575091535475776,-0.03260912667342161,0.0053418871347383655
TYPES,-0.3811809075164402,-0.22713594023745018,0.10188812329712978,-0.045559085995875284,-0.049884803567110704,-0.07159000196481699,-0.01747856643203702,0.02381383400200249,-0.037326518118911016,0.06362141686047126,-0.10365143867657438,0.10777998621690776,0.018012494851482444,0.1452080178837247,0.014354495108621844,0.01180493694311815,0.013122092570908205,0.011661712444733179,-0.009972920747515365,0.0686781659988324,0.24275890570100458,-0.11226798814323855,0.6555053538410868,0.4756715487293312
WORDS,-0.33414935691237624,-0.29985762120158627,0.09115288007539443,-0.11696148269048914,-0.08616942418338239,0.08601402618156616,-0.07967402395743937,0.0012216410942865786,0.002786263207468247,-0.0036738421134285084,-0.08716797845430799,-0.010877102627397585,0.014199319610211186,0.03262479118720732,-0.028200529914109235,0.005689527026949199,-0.07009244188270193,0.03783775545154532,0.053358074306275344,-0.007830915584594518,0.6988152676722429,0.029909406666320467,-0.3050979925046235,-0.39225131930876994
