feature,coefficient
Intercept,4.256903765690379
%CC,-0.0032223660682407273
%CD,0.02828908163250194
%DT,0.016521397925552822
%EXCLAIM,0.022020455755935604
%FUNC,0.08266508194936298
%IN,-0.0300735483243272
%JJ,0.001635990734226297
%MD,0.0023761412910447122
%MISSPELLED,-0.04562842435815501
%NN,0.014050316343388079
%PRP,-0.021731761731395235
%QUESTION,0.024406032643612532
%RB,-0.01737587079296033
%REPEATED,0.000392314564240727
%VB,-0.02296391447597787
AVG_WFREQ,-0.019717179719821547
AVG_WLEN,0.13036889134086777
LM,-0.01695481378167952
LOGTYPES,0.2531204152649584
LOGWORDS,0.3565816221561727
SD_WFREQ,-0.019425772764145623
SD_WLEN,0.017026919423091647
