feature,coefficient
Intercept,4.256903765690379
%CC,-0.004030520999859047
%CD,0.035383856201283724
%DT,0.020664890293585893
%EXCLAIM,0.027543087120210794
%FUNC,0.10339711308277282
%IN,-0.037615859121695995
%JJ,0.002046289859759445
%MD,0.0029720668506842164
%MISSPELLED,-0.05707182817575681
%NN,0.017574072553341532
%PRP,-0.027181989931436383
%QUESTION,0.030526955972767847
%RB,-0.02173366111693806
%REPEATED,0.0004907052942579196
%VB,-0.0287231610482194
AVG_WFREQ,-0.0246621598030056
AVG_WLEN,0.16306482353340607
LM,-0.021207004899064057
LOGTYPES,0.31660187812722534
LOGWORDS,0.4460106908489489
SD_WFREQ,-0.024297669292156206
SD_WLEN,0.021297194311367094
