,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
%CC,0.021057986896721916,0.175380407100197,0.013142091825551015,0.14145407844134197,-0.20424140669554774,-0.5093241155095425,-0.4259958628308972,-0.22599241854873267,-0.018824511121239233,0.04922705719495662,-0.4123525689037644,-0.23466771374157663,-0.0379407525576148,-0.29433397860648897,-0.1851858854497409,0.058827653060444206,0.20318663291459518,-0.06652122508851026,-0.04981718607451244,0.11122363980489726,-0.020847202009380686,0.015523267708758531
%CD,-0.10403318308153474,0.0009908822200610048,-0.1373262970785113,-0.28880446991176134,0.3390553971346117,0.18315790198414192,-0.46312989405916566,-0.21849757099421496,-0.17007071715777597,0.18707884263329447,0.44122097888322664,0.14473956755114706,0.012908021036422421,-0.19134081649374118,-0.3150814405614517,-0.010582680275070484,0.1340784728211182,-0.0321908239895313,0.010096455974175942,0.2010157780308053,0.0180561941783346,-0.024715415682101376
%DT,-0.05518171125971628,-0.021345590503656798,0.0177574666776548,-0.5446309429129437,-0.11074490291173257,-0.15366736500527106,0.4477756573830503,-0.09620333138925327,-0.38270932827546705,-0.20749655118651755,-0.16274904672789167,0.19091973358026232,0.04964057749222521,-0.10707143807605274,-0.021927514184442505,0.19309366745508583,0.26090448739322375,-0.17216501833872228,0.07231417504605464,0.21417567194056414,-0.024129183643812887,0.01941425753138328
%EXCLAIM,-0.045726929503964044,-0.09035161635328497,-0.19014955802098055,0.06222704616945387,0.5058066196412015,-0.14482361926520126,0.03099968542307637,0.05523349059662778,0.2195305885473491,0.024870263135908878,-0.40489124000802723,0.33244061426152893,0.5667042503992836,0.06313431191790407,-0.07854959251888755,-0.10230032611491986,0.05322043609471233,0.023087577267819438,0.003846994124396509,0.020871058225068125,0.00498438699327164,-0.0030017322958718713
%FUNC,0.3562513198726966,0.07889344817409218,-0.15633560978454317,-0.2857424321232282,-0.07712626684680693,-0.137878736270852,0.08175422862352966,0.0675267647110552,0.0630700261484651,0.21406847030836818,-0.022131383661310376,-0.022460632396578414,0.0753485590664646,-0.3213974586817404,-0.09028461105853454,0.06188311518694658,-0.568104771698239,0.3323785977971182,0.3228518847755011,0.05301638381377501,0.07760699773704212,-0.08081565563760067
%IN,-0.022095708484367114,0.005486747006701717,0.20174674067288895,-0.4216765668554034,-0.1377755310377489,-0.03197802355433961,0.05902757236862731,0.1097657121551586,0.7109248529395144,0.19768193863189987,0.011402020389144021,-0.0709141129864154,-0.09749590777002837,0.2100584820886456,-0.2744727456757626,0.014362710002124569,0.17369423932032263,-0.05964577776301969,-0.11530175858950627,0.13807009764803255,0.018324507902499093,0.013700187153507322
%JJ,-0.2067793593762604,-0.07766340768013621,0.11541911466384983,0.15497690229516414,-0.1927080175483768,-0.06826428988573637,-0.08613990594786734,0.361410587662052,-0.2349016600987395,0.5471460064330405,-0.14350985349121842,0.4649003598268755,-0.1980705915488806,0.13244106922276408,0.020501844818086187,0.06295604480709806,-0.062264305821937815,0.04443169386194706,-0.007474696961060103,0.2742830975177414,0.004222451130788018,0.021210909092684724
%MD,0.1892632926085066,0.08799866514342859,0.08116539136841691,0.042943853534457004,0.020504409474172338,-0.003050539184797786,-0.1787371658587527,0.6732717288022501,-0.180737451549305,-0.4218296872183189,0.06353711993134947,-0.13307497766629017,0.13448287388455407,0.10612678992139396,-0.3968632263281054,0.10832142606322308,0.004525252688521005,0.011177514092504852,-0.024408130420784116,0.17484036553182436,-0.007167019953153807,-0.005975391884382401
%MISSPELLED,-0.16924726238561616,0.46668998327952727,-0.15261491737330177,-0.01575745209484959,-0.04101677060096583,0.08071577491780077,0.0754160668259257,0.07401067032172845,0.027336810796227958,-0.06884772181669525,-0.005126789122535921,0.06273001149339749,-0.07417213386134784,-0.029196220663612823,0.06935891760799501,-0.16762239788894553,0.3962732466188529,0.7008265619324634,0.05940850754489917,0.01895633901880181,-0.0979376793038614,0.01650090452399849
%NN,-0.3296975056879833,0.03185041385981078,0.3122463097270298,-0.08885917264751252,0.07581437551761422,0.08812097869452895,-0.1422822763427288,-0.18746067213201242,0.023009821271859143,-0.27242998291129944,-0.14281161118956978,-0.14216815997294238,0.051261676648051493,0.1225627025822509,0.21195380499196606,-0.18165910491381396,-0.3889737555970942,0.12629417781793142,0.014756753998824335,0.580886472743974,-0.00813158859318469,0.010021362019568558
%PRP,0.3577949555702273,0.1079170695055298,-0.14549051780463151,0.052256919286075794,0.11321826535850879,0.1570351271679346,-0.0628550326774209,0.1470906382416674,0.11530175122211497,0.1776072559665943,0.033075284345214846,-0.19522340869016025,0.09677716344482057,-0.05836355146627115,0.5450200630271126,0.2500775951081194,0.28648355095652533,-0.18097808138614846,0.13936383029955113,0.4258443548320092,-0.022291002267907582,0.029704026200228353
