spkitemid,WORDS,TYPES,score2,IS_NATIVE,average_score
1151.0,530.0,223.0,5,1,5.0
1186.0,481.0,185.0,4,1,4.5
360.0,201.0,104.0,3,0,3.0
1716.0,309.0,121.0,4,0,3.5
1578.0,296.0,154.0,5,0,4.5
945.0,304.0,92.0,4,0,4.0
1783.0,535.0,203.0,4,0,4.0
1760.0,635.0,222.0,6,1,6.0
813.0,335.0,147.0,4,0,4.0
1725.0,473.0,165.0,4,1,4.5
1706.0,226.0,103.0,3,0,3.0
303.0,512.0,199.0,5,1,5.0
138.0,443.0,189.0,6,0,5.0
833.0,572.0,189.0,4,1,4.5
1066.0,505.0,236.0,4,1,4.5
275.0,442.0,175.0,5,1,5.5
1529.0,361.0,169.0,4,0,4.0
525.0,398.0,162.0,4,1,4.5
1614.0,414.0,159.0,4,1,4.5
361.0,592.0,208.0,5,1,5.0
383.0,544.0,201.0,5,1,5.5
705.0,502.0,167.0,4,0,4.0
948.0,481.0,188.0,5,0,4.5
785.0,489.0,138.0,4,0,4.0
512.0,311.0,124.0,4,0,4.0
191.0,272.0,116.0,4,0,4.0
718.0,529.0,214.0,5,1,5.0
112.0,452.0,202.0,4,1,4.5
102.0,361.0,127.0,4,0,4.0
165.0,428.0,192.0,5,0,4.5
1111.0,602.0,217.0,5,1,5.5
788.0,388.0,148.0,4,0,4.0
1661.0,498.0,195.0,5,1,5.0
812.0,273.0,129.0,4,0,4.0
1684.0,352.0,153.0,4,0,4.0
429.0,438.0,174.0,4,1,4.5
93.0,591.0,256.0,6,1,5.5
1310.0,313.0,144.0,3,0,3.5
1384.0,438.0,189.0,5,1,5.0
766.0,276.0,123.0,4,0,4.0
668.0,456.0,187.0,5,1,5.0
627.0,279.0,94.0,4,0,4.0
398.0,468.0,224.0,5,1,5.0
680.0,541.0,180.0,4,1,4.5
928.0,395.0,171.0,5,1,5.0
365.0,498.0,214.0,5,0,4.5
395.0,186.0,104.0,3,0,3.0
524.0,442.0,148.0,4,0,4.0
1038.0,607.0,228.0,5,1,5.5
1375.0,518.0,185.0,5,1,5.0
1007.0,419.0,184.0,5,1,5.0
849.0,217.0,111.0,4,0,3.5
228.0,333.0,120.0,4,0,4.0
194.0,592.0,233.0,5,1,5.0
301.0,409.0,166.0,4,1,4.5
1686.0,128.0,68.0,3,0,2.5
350.0,447.0,137.0,4,0,4.0
471.0,291.0,117.0,4,0,4.0
